YYYY,MM,DD,HR,Temperature,Humidity,Precipitation,Pressure,Windspeed
2018,5,8,12,14.66,8,0.21,98.75,6.63
2018,5,8,13,13.84,7.87,0.32,98.77,6.69
2018,5,8,14,12.83,7.75,0.36,98.78,6.5
2018,5,8,15,12.53,7.69,0.1,98.8,6.06
2018,5,8,16,12.65,7.51,0,98.79,5.79
2018,5,8,17,12.42,7.2,0,98.82,5.52
2018,5,8,18,11.75,7.02,0,98.86,4.87
2018,5,8,19,10.23,6.77,0,98.93,3.72
2018,5,8,20,8.43,6.35,0,98.98,3.21
2018,5,8,21,7.58,6.16,0,99.01,3.11
2018,5,8,22,6.89,6.04,0,99.02,3.08
2018,5,8,23,6.3,5.92,0,99.02,3.09
2018,5,9,0,5.8,5.86,0,99.01,3.04
2018,5,9,1,5.4,5.8,0,98.98,2.89
2018,5,9,2,5.1,5.74,0,98.95,2.82
2018,5,9,3,4.94,5.74,0,98.91,2.88
2018,5,9,4,5.21,5.74,0,98.88,2.92
2018,5,9,5,6.62,5.92,0,98.85,3.32
2018,5,9,6,7.44,6.16,0,98.81,3.83
2018,5,9,7,8.15,6.41,0,98.76,4.14
2018,5,9,8,8.98,6.65,0,98.71,4.65
2018,5,9,9,9.98,6.65,0.01,98.65,6.05
2018,5,9,10,10.55,6.47,0.03,98.61,7.07
2018,5,9,11,10.69,6.29,0.09,98.57,7.45
2018,5,9,12,10.55,6.23,0.2,98.53,7.51
2018,5,9,13,10.34,6.29,0.31,98.49,7.73
2018,5,9,14,10.01,6.29,0.44,98.46,7.93
2018,5,9,15,9.59,6.41,0.57,98.44,7.94
2018,5,9,16,9.21,6.47,0.62,98.44,7.84
2018,5,9,17,8.87,6.53,0.57,98.44,7.75
2018,5,9,18,8.57,6.53,0.48,98.45,7.53
2018,5,9,19,8.28,6.47,0.33,98.46,7.06
2018,5,9,20,8.01,6.47,0.2,98.48,6.28
2018,5,9,21,7.72,6.41,0.09,98.49,5.36
2018,5,9,22,7.41,6.35,0.03,98.51,4.67
2018,5,9,23,7.1,6.23,0.02,98.54,4.39
2018,5,10,0,6.8,6.1,0.01,98.57,4.28
2018,5,10,1,6.51,5.98,0.01,98.63,4.44
2018,5,10,2,6.24,5.86,0.01,98.68,4.73
2018,5,10,3,5.83,5.68,0.01,98.73,4.6
2018,5,10,4,5.53,5.62,0.01,98.78,4.62
2018,5,10,5,5.63,5.55,0.01,98.82,5.19
2018,5,10,6,6.44,5.62,0.01,98.87,5.63
2018,5,10,7,7.76,5.62,0.01,98.94,5.89
2018,5,10,8,8.92,5.43,0.02,99,6.16
2018,5,10,9,9.69,5.37,0.04,99.06,6.66
2018,5,10,10,10.08,5.43,0.06,99.12,7.06
2018,5,10,11,10.31,5.43,0.04,99.17,7.21
2018,5,10,12,10.56,5.43,0.03,99.24,7.33
2018,5,10,13,10.76,5.31,0.01,99.32,7.24
2018,5,10,14,10.9,5.25,0,99.39,6.8
2018,5,10,15,10.94,5.19,0,99.46,6.34
2018,5,10,16,10.8,5.19,0,99.54,5.87
2018,5,10,17,10.48,5.25,0,99.62,5.03
2018,5,10,18,9.81,5.68,0,99.69,3.28
2018,5,10,19,8.19,5.74,0,99.74,2.3
2018,5,10,20,7.12,5.43,0,99.77,2.44
2018,5,10,21,6.81,5.37,0,99.78,2.76
2018,5,10,22,6.24,5.25,0,99.78,3.09
2018,5,10,23,5.3,5.13,0,99.79,3.45
2018,5,11,0,4.64,5.13,0,99.76,3.51
2018,5,11,1,3.88,5.13,0,99.74,3.46
2018,5,11,2,3.37,5.13,0,99.72,3.25
2018,5,11,3,3.23,5.07,0,99.68,3.1
2018,5,11,4,3.55,5.07,0,99.65,3.69
2018,5,11,5,5.4,5.19,0,99.64,4.69
2018,5,11,6,6.78,5.37,0,99.64,5.48
2018,5,11,7,8.04,5.62,0,99.62,5.99
2018,5,11,8,9.12,5.8,0,99.56,6.98
2018,5,11,9,10,5.98,0,99.5,7.58
2018,5,11,10,10.95,6.1,0,99.45,8.17
2018,5,11,11,11.62,6.1,0,99.39,8.5
2018,5,11,12,12,6.16,0,99.34,8.53
2018,5,11,13,12.02,6.23,0,99.29,8.18
2018,5,11,14,11.88,6.47,0,99.26,7.58
